Source;Target;Weight;Type
0;0;0;undirected
0;3;250.06399181009647;undirected
0;2;1111.771109536491;undirected
1;1;0;undirected
1;2;340.90614544182097;undirected
1;3;1270.4692046641667;undirected
2;2;0;undirected
2;1;340.90614544182097;undirected
2;3;1047.169995750451;undirected
3;3;0;undirected
3;0;250.06399181009647;undirected
3;2;1047.169995750451;undirected
4;4;0;undirected
4;5;2231.124156115029;undirected
4;7;3053.0769724984007;undirected
5;5;0;undirected
5;4;2231.124156115029;undirected
5;7;4074.0218457931715;undirected
6;6;0;undirected
6;5;25413.427651538863;undirected
6;4;26374.845174901027;undirected
7;7;0;undirected
7;1;1314.5645666911914;undirected
7;2;1406.1034812559137;undirected
