αι ;;9498
ων ;;7960
 κα;;7406
ον ;;6566
 το;;6532
και;;5818
ις ;;5224
ι τ;;4926
ν τ;;4758
ιν ;;4644
μεν;;4493
ν ε;;4444
τα ;;4359
εν ;;4053
ν α;;3923
των;;3794
ος ;;3647
αν ;;3506
του;;3395
 δε;;3330
ς τ;;3184
ας ;;3147
ς ε;;2982
ειν;;2945
ως ;;2902
ν ο;;2896
 με;;2886
δε ;;2877
 πα;;2873
ς α;;2861
ην ;;2832
τε ;;2739
αυτ;;2733
 ου;;2720
 αν;;2670
 ει;;2647
 τα;;2647
ου ;;2595
ι π;;2566
 πο;;2480
ν π;;2438
ν δ;;2423
υς ;;2374
ν κ;;2293
 τω;;2292
τον;;2289
ους;;2286
τοι;;2218
ουτ;;2189
οις;;2143
το ;;2112
υτο;;2083
 πρ;;2059
ης ;;2051
 τε;;2027
 τι;;1998
 τη;;1974
ι κ;;1961
 δι;;1941
ενο;;1881
ηι ;;1834
 αυ;;1804
ει ;;1798
α τ;;1792
ντα;;1783
ι δ;;1778
νομ;;1733
 μη;;1716
ς ο;;1706
οντ;;1692
ς π;;1632
 εν;;1632
περ;;1531
ωι ;;1526
ομε;;1510
προ;;1492
πολ;;1487
ι μ;;1482
αντ;;1481
αλλ;;1475
οι ;;1464
 πε;;1464
ν μ;;1449
την;;1446
 επ;;1438
ς δ;;1427
ται;;1406
υν ;;1386
εις;;1378
τι ;;1358
υτω;;1343
 γε;;1332
σιν;;1307
 αλ;;1303
 νο;;1274
ατα;;1230
ν η;;1206
 δη;;1196
παν;;1193
 η ;;1190
θαι;;1188
ε κ;;1185
ουν;;1180
δη ;;1168
σθα;;1157
ναι;;1155
 απ;;1155
 αρ;;1134
ς κ;;1131
ι ε;;1093
 εκ;;1092
ομο;;1072
ι α;;1061
ρον;;1056
ινα;;1056
δια;;1042
κατ;;1034
τιν;;1016
ερι;;1009
της;;1007
τας;;999
ουσ;;986
ρι ;;982
νον;;975
η τ;;968
ιον;;957
ε τ;;932
 οι;;922
ια ;;914
εστ;;913
επι;;913
τερ;;910
ρος;;895
ς μ;;881
α ε;;881
α κ;;880
 συ;;879
οτε;;870
αρ ;;864
α δ;;863
ιαν;;862
ερο;;857
ν γ;;855
εσθ;;851
λει;;846
ες ;;844
τωι;;841
ς η;;838
ε α;;837
 λε;;836
να ;;827
ιου;;824
λεγ;;823
ιστ;;815
 εσ;;801
ντω;;794
τος;;793
νος;;793
α π;;790
υτα;;789
ταυ;;789
μη ;;780
ιας;;779
νων;;779
αις;;773
δει;;772
αστ;;765
ετα;;763
 ημ;;762
νου;;752
 γα;;750
παρ;;748
 ως;;738
οιο;;737
 ο ;;727
η π;;717
ιγν;;714
νοι;;711
ματ;;711
ι σ;;708
δικ;;706
γιγ;;701
γαρ;;693
ν ω;;692
πει;;689
 χρ;;682
υσι;;681
ρα ;;676
α α;;673
ι ο;;669
ς γ;;666
εκα;;661
 γι;;659
στα;;655
ατο;;654
εια;;654
ε ε;;653
ι γ;;651
ικα;;648
ενα;;646
ποι;;645
 δ ;;643
τω ;;642
ντε;;641
η κ;;640
 θε;;635
αρα;;634
μον;;632
τηι;;626
α μ;;624
μετ;;622
εισ;;621
 μα;;612
ανα;;609
ειρ;;605
υ τ;;604
νυν;;604
υνα;;603
λλο;;601
ν ν;;597
 εα;;597
ονο;;596
ποτ;;596
 τρ;;593
τις;;592
 ορ;;592
απο;;591
παι;;590
γεν;;590
ημι;;588
γε ;;586
ε π;;579
ημα;;570
λογ;;568
στι;;567
ροσ;;563
κει;;559
πασ;;557
ο δ;;553
μιν;;551
στο;;550
γον;;547
υτη;;547
ελε;;546
κασ;;545
ολε;;544
ουδ;;537
ασι;;535
τες;;534
θεν;;530
νει;;528
αιδ;;525
σι ;;524
