Source;Target;Weight;Type
0;0;0;undirected
0;7;0.013152578720714327;undirected
0;5;0.013833930690637484;undirected
1;1;0;undirected
1;2;0.007863910352050986;undirected
1;4;0.02887772615384795;undirected
2;2;0;undirected
2;1;0.007863910352050986;undirected
2;4;0.02952290885483943;undirected
3;3;0;undirected
3;6;0.015149518839062855;undirected
3;4;0.015483100672007099;undirected
4;4;0;undirected
4;6;0.009381630354004812;undirected
4;3;0.015483100672007099;undirected
5;5;0;undirected
5;7;0.012170331377708832;undirected
5;0;0.013833930690637484;undirected
6;6;0;undirected
6;4;0.009381630354004812;undirected
6;3;0.015149518839062855;undirected
7;7;0;undirected
7;5;0.012170331377708832;undirected
7;0;0.013152578720714327;undirected
