αι ;;683
 κα;;601
και;;492
ον ;;434
ων ;;411
ν ε;;359
 το;;339
οσ ;;307
ισ ;;302
ν α;;299
ουσ;;281
ιν ;;273
ι τ;;272
μεν;;270
εν ;;229
σ ε;;225
 ου;;225
σ α;;217
ν ο;;209
τα ;;202
ασ ;;186
ην ;;183
ι κ;;181
των;;181
ου ;;175
ειν;;173
υσ ;;173
σ ο;;169
του;;160
αν ;;160
 πρ;;156
τον;;154
ι π;;150
 δε;;148
 πα;;147
ενο;;144
ει ;;143
 με;;142
 τα;;142
ν τ;;141
οισ;;141
ν κ;;140
σ τ;;137
 τη;;132
ωσ ;;131
αλλ;;131
ησ ;;129
 αν;;125
οντ;;122
δε ;;121
α τ;;121
αυτ;;120
σ κ;;119
 τω;;118
 αλ;;118
ντα;;116
 εν;;114
προ;;114
ροσ;;114
 πο;;113
α κ;;111
τοι;;110
ι δ;;108
ομε;;107
το ;;106
οι ;;104
υσι;;104
υτο;;103
ι μ;;103
εισ;;102
 μη;;102
την;;101
 ει;;95
ν π;;94
σιν;;94
περ;;93
ιον;;93
νον;;88
 δι;;88
 ωσ;;87
τι ;;85
 αυ;;85
ται;;84
ουτ;;83
παρ;;83
 απ;;83
ρον;;81
 επ;;79
σι ;;78
α π;;78
 ο ;;78
εστ;;77
νοσ;;77
σ π;;75
ια ;;75
ν δ;;75
νου;;74
τασ;;73
ν η;;72
 οι;;70
πολ;;70
αρ ;;69
δια;;69
στι;;69
 γα;;69
 τι;;66
εσ ;;66
 η ;;65
 πε;;64
γαρ;;64
ιστ;;63
ιαν;;63
επι;;62
 ευ;;61
 εκ;;61
ουν;;61
ν ω;;61
σ δ;;61
ατα;;60
λλα;;60
μη ;;60
κει;;59
τησ;;58
τοσ;;58
ι σ;;57
τω ;;56
ε τ;;56
ινο;;55
σ μ;;55
πρα;;54
ν μ;;54
ματ;;53
αντ;;53
 συ;;53
ουδ;;53
 υπ;;52
λα ;;52
 εσ;;52
λλο;;52
ναι;;51
σθα;;51
μον;;51
ερο;;51
απο;;51
 δ ;;51
ιασ;;50
νων;;50
τερ;;50
θαι;;49
αισ;;49
υτω;;49
