tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;tail-point; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;tail-pointvoksize;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;k-point;k-pointindex;sumhalbehoehe;k-pointvoksize;h-ponit;h-pointvoksize;h-point/k-point;tail-point/h-point
DEU083.xml;340;34;187;311;32;171.5;33;325;179;1.0625;1.0932475884244373;1.0903790087463556;0.00847457627118644;0.08359013867488443;0.04603235747303544;3894;124571;147;147;1456;0.3739085772984078;171;hte ;0.5005418596623609;0.04391371340523883;193;0.049563430919363126;1.128654970760234;1.0767085076708507
DEU060.xml;234;33;133.5;287;31;159;32;260;146;1.064516129032258;0.8153310104529616;0.839622641509434;0.009213936078318457;0.07500719838756119;0.04211056723293982;3473;110016;169;168;1319;0.3797869277281889;165;rt  ;0.5004999272833043;0.04750935790382954;185;0.05326806795277858;1.121212121212121;1.264957264957265
DEU064.xml;451;39;245;547;37;292;38;499;268;1.054054054054054;0.8244972577696527;0.839041095890411;0.010376843255051884;0.1362643364281813;0.0733205898416166;3662;228104;204;203;1717;0.4688694702348443;157;nne ;0.5009425525199029;0.04287274713271436;258;0.07045330420535227;1.643312101910828;0.9608938547486033
DEU092.xml;398;44;221;654;42;348;43;526;284;1.0476190476190477;0.6085626911314985;0.6350574712643678;0.011028468838163632;0.13490638625288537;0.07296742754552449;3899;231529;188;188;1736;0.4452423698384201;153;wir ;0.5009566836119881;0.03924083098230315;259;0.06642728904847396;1.6928104575163399;0.9103690685413005
DEU086.xml;546;58;302;569;56;312.5;57;557;307;1.0357142857142858;0.9595782073813708;0.9664;0.01532258064516129;0.14986559139784947;0.08259408602150538;3720;229917;174;174;1834;0.493010752688172;169;des ;0.5010634272367857;0.04543010752688172;260;0.06989247311827956;1.5384615384615385;0.8462164361269324
DEU023.xml;433;30;231.5;442;28;235;29;437;233;1.0714285714285714;0.9796380090497737;0.9851063829787234;0.007192460317460317;0.10850694444444445;0.057849702380952384;4032;223130;230;229;1765;0.43774801587301587;164;h s ;0.5006319186124679;0.040674603174603176;259;0.0642361111111111;1.579268292682927;1.1103965702036442
DEU098.xml;459;29;244;542;27;284.5;28;500;264;1.0740740740740742;0.8468634686346863;0.8576449912126538;0.0072897682895079405;0.13030460817495443;0.06879718823223119;3841;204868;187;187;1765;0.4595157511064827;174;sse ;0.5002391783977975;0.0453007029419422;252;0.06560791460557147;1.4482758620689655;0.9536423841059603
DEU093.xml;397;3;200;472;1;236.5;2;434;218;3;0.8411016949152542;0.8456659619450317;0.000484027105517909;0.10515488867376573;0.05281945788964182;4132;200807;209;208;1825;0.441674733785092;188; wo ;0.5004506815001468;0.04549854791868345;259;0.06268151016456922;1.377659574468085;1.1867124856815578
DEU058.xml;342;29;185.5;528;27;277.5;28;435;231;1.0740740740740742;0.6477272727272727;0.6684684684684684;0.006894853484363458;0.10711647377493229;0.05700566362964787;4061;207055;202;202;1740;0.42846589509972915;166;ied ;0.5000845186061672;0.04087663137158335;248;0.061068702290076333;1.4939759036144578;1.0712742980561556
DEU091.xml;436;37;236.5;584;35;309.5;36;510;273;1.0571428571428572;0.7465753424657534;0.7641357027463651;0.009690444145356662;0.13728129205921938;0.07348586810228802;3715;223829;190;190;1824;0.49098250336473753;170;ere ;0.5009315146830841;0.04576043068640646;257;0.06917900403768507;1.511764705882353;0.9413919413919414
