Source;Target;Weight;Type
0;0;0;undirected
0;1;0.021351675168658213;undirected
0;5;0.024784661955829512;undirected
1;1;0;undirected
1;5;0.015447626700474726;undirected
1;10;0.017240060595484774;undirected
2;2;0;undirected
2;18;0.01798667633833817;undirected
2;6;0.01874733539534068;undirected
3;3;0;undirected
3;15;0.011941394824775853;undirected
3;5;0.012117859045805979;undirected
4;4;0;undirected
4;15;0.016000392120609108;undirected
4;3;0.018191074999970747;undirected
5;5;0;undirected
5;17;0.009041409645304976;undirected
5;3;0.012117859045805979;undirected
6;6;0;undirected
6;3;0.015603628966541883;undirected
6;13;0.017232867717044464;undirected
7;7;0;undirected
7;19;0.01758176636551889;undirected
7;13;0.020691937071852906;undirected
8;8;0;undirected
8;6;0.025105436504765488;undirected
8;18;0.033432500822690336;undirected
9;9;0;undirected
9;11;0.02038365520239782;undirected
9;18;0.024384414273252553;undirected
10;10;0;undirected
10;1;0.017240060595484774;undirected
10;6;0.017865939161951894;undirected
11;11;0;undirected
11;5;0.015629862903383196;undirected
11;18;0.01747338213742977;undirected
12;12;0;undirected
12;15;0.009475563252080876;undirected
12;5;0.016392089914820107;undirected
13;13;0;undirected
13;6;0.017232867717044464;undirected
13;7;0.020691937071852906;undirected
14;14;0;undirected
14;5;0.020593000823066587;undirected
14;15;0.02218337352494526;undirected
15;15;0;undirected
15;12;0.009475563252080876;undirected
15;3;0.011941394824775853;undirected
16;16;0;undirected
16;13;0.02961644480662895;undirected
16;7;0.03155653718531215;undirected
17;17;0;undirected
17;5;0.009041409645304976;undirected
17;15;0.01643468184286112;undirected
18;18;0;undirected
18;11;0.01747338213742977;undirected
18;2;0.01798667633833817;undirected
19;19;0;undirected
19;7;0.01758176636551889;undirected
19;3;0.018811593596222864;undirected
