Source;Target;Weight;Type
0;0;0;undirected
0;4;0.033684634875850494;undirected
0;6;0.037560153195020374;undirected
1;1;0;undirected
1;3;0.029640628982071204;undirected
1;5;0.030820014970593612;undirected
2;2;0;undirected
2;7;0.020732986272659737;undirected
2;0;0.04402966173479139;undirected
3;3;0;undirected
3;5;0.02382433293791253;undirected
3;1;0.029640628982071204;undirected
4;4;0;undirected
4;6;0.009895152019008813;undirected
4;0;0.033684634875850494;undirected
5;5;0;undirected
5;3;0.02382433293791253;undirected
5;1;0.030820014970593612;undirected
6;6;0;undirected
6;4;0.009895152019008813;undirected
6;0;0.037560153195020374;undirected
7;7;0;undirected
7;2;0.020732986272659737;undirected
7;4;0.039248111229242544;undirected
