Id;Label;Classes;Group
0;FRA02001_Gilbert.txt;FRA02001_Gilbert.txt;1
1;FRA02202_Gouraud.txt;FRA02202_Gouraud.txt;2
2;FRA07101_Blondel.txt;FRA07101_Blondel.txt;3
3;FRA00501_Balzac.txt;FRA00501_Balzac.txt;4
4;FRA00401_Allais.txt;FRA00401_Allais.txt;5
5;FRA01701_GautierT.txt;FRA01701_GautierT.tx;6
6;FRA03401_Reybaud.txt;FRA03401_Reybaud.txt;7
7;FRA01402_Fleuriot.txt;FRA01402_Fleuriot.tx;8
8;FRA00201_Audoux.txt;FRA00201_Audoux.txt;9
9;FRA01002_DelarueMardrus.txt;FRA01002_DelarueMard;10
10;FRA01401_Fleuriot.txt;FRA01401_Fleuriot.tx;11
11;FRA04801_Corday.txt;FRA04801_Corday.txt;12
12;FRA04501_Barres.txt;FRA04501_Barres.txt;13
13;FRA05201_Feuillet.txt;FRA05201_Feuillet.tx;14
14;FRA07001_Mendes.txt;FRA07001_Mendes.txt;15
15;FRA01603_GautierJ.txt;FRA01603_GautierJ.tx;16
16;FRA00102_Adam.txt;FRA00102_Adam.txt;17
17;FRA02401_LeRouge.txt;FRA02401_LeRouge.txt;18
18;FRA01102_Dombre.txt;FRA01102_Dombre.txt;19
19;FRA00101_Adam.txt;FRA00101_Adam.txt;20
