Id;Label;Classes;Group
0;IT18830_Boito_Senso.xml;IT18830_Boito_Senso.;1
1;IT19220_Aleramo_Trasfigurazione.xml;IT19220_Aleramo_Tras;2
2;IT18700_Garibaldi_Cantoni-il-volontario.xml;IT18700_Garibaldi_Ca;3
3;IT19191_Tozzi_Con-gli-occhi-chiusi.xml;IT19191_Tozzi_Con-gl;4
4;IT19261_Pirandello_Uno-nessuno-e-centomila.xml;IT19261_Pirandello_U;5
5;IT18520_Tommaseo_Fede-e-bellezza.xml;IT18520_Tommaseo_Fed;6
6;IT18750_Verga_Il-marito-di-Elena.xml;IT18750_Verga_Il-mar;7
7;IT18831_Collodi_Le-avventure-di-Pinocchio.xml;IT18831_Collodi_Le-a;8
8;IT18760_Imbriani_Dio-ne-scampi-dagli-Orsenigo.xml;IT18760_Imbriani_Dio;9
9;IT18620_Petruccelli-della-Gattina_I-moribondi-del-Palazzo-Carignano.xml;IT18620_Petruccelli-;10
10;IT18660_Verga_Una-peccatrice.xml;IT18660_Verga_Una-pe;11
11;IT18900_De-Roberto_Processi-verbali.xml;IT18900_De-Roberto_P;12
12;IT18910_Boito_Il-maestro-di-setticlavio.xml;IT18910_Boito_Il-mae;13
13;IT18751_Verga_Tigre-reale.xml;IT18751_Verga_Tigre-;14
14;IT19201_Tozzi_Tre-croci.xml;IT19201_Tozzi_Tre-cr;15
15;IT19121_Slataper_Il-mio-Carso.xml;IT19121_Slataper_Il-;16
16;IT18891_Invernizio_La-trovatella-di-Milano.xml;IT18891_Invernizio_L;17
17;IT19210_Aleramo_Il-Passaggio.xml;IT19210_Aleramo_Il-P;18
18;IT18711_Barbieri_Lucifero.xml;IT18711_Barbieri_Luc;19
19;IT19131_Dossi_La-Colonia-Felice-Utopia.xml;IT19131_Dossi_La-Col;20
20;IT19070_Capuana_Un-Vampiro.xml;IT19070_Capuana_Un-V;21
